match,teamInnings,match_id,batsmanName,runs,balls,4s,6s,SR,battingPos
Afghanistan vs England,Afghanistan,T20I # 1840,Hazratullah Zazai,7,17,1,0,41.17,1
Afghanistan vs England,Afghanistan,T20I # 1840,Rahmanullah Gurbaz,10,9,0,1,111.11,2
Afghanistan vs England,Afghanistan,T20I # 1840,Ibrahim Zadran,32,32,3,1,100.00,3
Afghanistan vs England,Afghanistan,T20I # 1840,Usman Ghani,30,30,3,0,100.00,4
Afghanistan vs England,Afghanistan,T20I # 1840,Najibullah Zadran,13,11,0,1,118.18,5
Afghanistan vs England,Afghanistan,T20I # 1840,Mohammad Nabi(c),3,5,0,0,60.00,6
Afghanistan vs England,Afghanistan,T20I # 1840,Azmatullah Omarzai,8,6,1,0,133.33,7
Afghanistan vs England,Afghanistan,T20I # 1840,Rashid Khan,0,1,0,0,0.00,8
Afghanistan vs England,Afghanistan,T20I # 1840,Mujeeb Ur Rahman,0,1,0,0,0.00,9
Afghanistan vs England,Afghanistan,T20I # 1840,Fareed Ahmad,2,4,0,0,50.00,10
Afghanistan vs England,Afghanistan,T20I # 1840,Fazalhaq Farooqi,0,2,0,0,0.00,11
Afghanistan vs England,England,T20I # 1840,Jos Buttler(c),18,18,3,0,100.00,1
Afghanistan vs England,England,T20I # 1840,Alex Hales,19,20,0,1,95.00,2
Afghanistan vs England,England,T20I # 1840,Dawid Malan,18,30,0,0,60.00,3
Afghanistan vs England,England,T20I # 1840,Ben Stokes,2,4,0,0,50.00,4
Afghanistan vs England,England,T20I # 1840,Liam Livingstone,29,21,3,0,138.09,5
Afghanistan vs England,England,T20I # 1840,Harry Brook,7,6,0,0,116.66,6
Afghanistan vs England,England,T20I # 1840,Moeen Ali,8,10,0,0,80.00,7
Afghanistan vs Sri Lanka,Afghanistan,T20I # 1856,Rahmanullah Gurbaz,28,24,2,2,116.66,1
Afghanistan vs Sri Lanka,Afghanistan,T20I # 1856,Usman Ghani,27,27,2,1,100.00,2
Afghanistan vs Sri Lanka,Afghanistan,T20I # 1856,Ibrahim Zadran,22,18,1,1,122.22,3
Afghanistan vs Sri Lanka,Afghanistan,T20I # 1856,Najibullah Zadran,18,16,1,0,112.50,4
Afghanistan vs Sri Lanka,Afghanistan,T20I # 1856,Gulbadin Naib,12,14,0,0,85.71,5
Afghanistan vs Sri Lanka,Afghanistan,T20I # 1856,Mohammad Nabi(c),13,8,1,0,162.50,6
Afghanistan vs Sri Lanka,Afghanistan,T20I # 1856,Rashid Khan,9,8,1,0,112.50,7
Afghanistan vs Sri Lanka,Afghanistan,T20I # 1856,Azmatullah Omarzai,3,4,0,0,75.00,8
Afghanistan vs Sri Lanka,Afghanistan,T20I # 1856,Mujeeb Ur Rahman,1,2,0,0,50.00,9
Afghanistan vs Sri Lanka,Sri Lanka,T20I # 1856,Pathum Nissanka,10,10,2,0,100.00,1
Afghanistan vs Sri Lanka,Sri Lanka,T20I # 1856,Kusal Mendis,25,27,2,1,92.59,2
Afghanistan vs Sri Lanka,Sri Lanka,T20I # 1856,Dhananjaya de Silva,66,42,6,2,157.14,3
Afghanistan vs Sri Lanka,Sri Lanka,T20I # 1856,Charith Asalanka,19,18,1,0,105.55,4
Afghanistan vs Sri Lanka,Sri Lanka,T20I # 1856,Bhanuka Rajapaksa,18,14,3,0,128.57,5
Afghanistan vs Sri Lanka,Sri Lanka,T20I # 1856,Dasun Shanaka(c),0,0,0,0,-,6
Australia vs Afghanistan,Afghanistan,T20I # 1864,Rahmanullah Gurbaz,30,17,2,2,176.47,1
Australia vs Afghanistan,Afghanistan,T20I # 1864,Usman Ghani,2,7,0,0,28.57,2
Australia vs Afghanistan,Afghanistan,T20I # 1864,Ibrahim Zadran,26,33,2,0,78.78,3
Australia vs Afghanistan,Afghanistan,T20I # 1864,Gulbadin Naib,39,23,3,2,169.56,4
Australia vs Afghanistan,Afghanistan,T20I # 1864,Mohammad Nabi(c),1,2,0,0,50.00,5
Australia vs Afghanistan,Afghanistan,T20I # 1864,Najibullah Zadran,0,2,0,0,0.00,6
Australia vs Afghanistan,Afghanistan,T20I # 1864,Darwish Rasooli,15,13,1,0,115.38,7
Australia vs Afghanistan,Afghanistan,T20I # 1864,Rashid Khan,48,23,3,4,208.69,8
Australia vs Afghanistan,Afghanistan,T20I # 1864,Naveen-ul-Haq,0,0,0,0,-,9
Australia vs Afghanistan,Australia,T20I # 1864,David Warner,25,18,5,0,138.88,1
Australia vs Afghanistan,Australia,T20I # 1864,Cameron Green,3,2,0,0,150.00,2
