match_id,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
T20I # 1840,Afghanistan vs England,England,Ben Stokes,4.0,0,19,2,4.75,14,2,0,1,0
T20I # 1840,Afghanistan vs England,England,Chris Woakes,4.0,0,24,1,6.0,15,2,1,1,0
T20I # 1840,Afghanistan vs England,England,Mark Wood,4.0,0,23,2,5.75,14,2,1,0,0
T20I # 1840,Afghanistan vs England,England,Sam Curran,3.4,0,10,5,2.72,16,1,0,1,0
T20I # 1840,Afghanistan vs England,England,Adil Rashid,4.0,0,32,0,8.0,4,1,1,0,0
T20I # 1856,Afghanistan vs Sri Lanka,Sri Lanka,Kasun Rajitha,4.0,0,31,1,7.75,11,2,1,1,1
T20I # 1856,Afghanistan vs Sri Lanka,Sri Lanka,Pramod Madushan,3.0,0,24,0,8.0,7,2,1,0,0
T20I # 1856,Afghanistan vs Sri Lanka,Sri Lanka,Lahiru Kumara,4.0,0,30,2,7.5,12,2,1,4,0
T20I # 1856,Afghanistan vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4.0,0,33,0,8.25,5,1,1,1,0
T20I # 1856,Afghanistan vs Sri Lanka,Sri Lanka,Wanindu Hasaranga,4.0,0,13,3,3.25,12,0,0,0,0
T20I # 1856,Afghanistan vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,1.0,0,9,1,9.0,1,1,0,0,0
T20I # 1864,Australia vs Afghanistan,Afghanistan,Fazalhaq Farooqi,4.0,0,29,2,7.25,13,4,1,0,0
T20I # 1864,Australia vs Afghanistan,Afghanistan,Mujeeb Ur Rahman,4.0,0,42,1,10.5,5,4,1,1,0
T20I # 1864,Australia vs Afghanistan,Afghanistan,Naveen-ul-Haq,4.0,0,21,3,5.25,11,2,0,0,0
T20I # 1864,Australia vs Afghanistan,Afghanistan,Gulbadin Naib,3.0,0,31,0,10.33,6,3,2,0,0
T20I # 1864,Australia vs Afghanistan,Afghanistan,Rashid Khan,4.0,0,29,1,7.25,9,2,1,1,0
T20I # 1864,Australia vs Afghanistan,Afghanistan,Mohammad Nabi,1.0,0,14,0,14.0,1,1,1,0,0
T20I # 1855,Australia vs Ireland,Ireland,Josh Little,4.0,0,21,2,5.25,13,2,0,2,0
T20I # 1855,Australia vs Ireland,Ireland,Mark Adair,4.0,0,59,0,14.75,6,7,2,6,0
T20I # 1855,Australia vs Ireland,Ireland,Barry McCarthy,4.0,0,29,3,7.25,7,2,0,1,0
T20I # 1855,Australia vs Ireland,Ireland,Gareth Delany,3.0,0,29,0,9.66,10,2,2,2,0
